Sl No.,Name of the Contesting candidate,Party Affiliation,Votes Secured,Status,District,Municipal
"WARD Name : 21 , Reserved for : BC(W), Total Voters in Municipality Ward : 2728 , Total Vaild Votes : 1967 , Rejected Votes : 74 , NOTA Votes : 1",,,,,Adilabad,Adilabad
1,KONDA MEENA,TRS,825,Elected,Adilabad,Adilabad
2,NEELA OSAWAR,BJP,701,,Adilabad,Adilabad
3,SHAIK ZABEENA,INC,115,,Adilabad,Adilabad
4,CHANDAWAR GANGAMMA,IND,108,,Adilabad,Adilabad
5,REDDYWAR KRISHNAVENI,IND,218,,Adilabad,Adilabad
"WARD Name : 22 , Reserved for : BC(W), Total Voters in Municipality Ward : 3028 , Total Vaild Votes : 1995 , Rejected Votes : 24 , NOTA Votes : 10",,,,,Adilabad,Adilabad
1,FOUZIYA TABASSAM,TRS,813,,Adilabad,Adilabad
2,MOHAMMED SAMEENA BEGUM,AIMIM,1142,Elected,Adilabad,Adilabad
3,SAFIYA BEGUM,INC,21,,Adilabad,Adilabad
4,SULTHANA,IND,19,,Adilabad,Adilabad
"WARD Name : 23 , Reserved for : BC(G), Total Voters in Municipality Ward : 2697 , Total Vaild Votes : 1929 , Rejected Votes : 13 , NOTA Votes : 2",,,,,Adilabad,Adilabad
1,GANDRATH VENKATESHWAR,INC,20,,Adilabad,Adilabad
2,PANDIRI BHUMANNA,TRS,956,Elected,Adilabad,Adilabad
3,MOHAMMED FAROOQ,AIMIM,707,,Adilabad,Adilabad
4,SAKARAPU ADELLU,BJP,246,,Adilabad,Adilabad
"WARD Name : 24 , Reserved for : UR(G), Total Voters in Municipality Ward : 2826 , Total Vaild Votes : 1714 , Rejected Votes : 25 , NOTA Votes : 4",,,,,Adilabad,Adilabad
1,ASHOK SWAMY,TRS,562,Elected,Adilabad,Adilabad
2,ELLULA PENTAJI,BJP,478,,Adilabad,Adilabad
3,MANSOOR KHAN,INC,232,,Adilabad,Adilabad
4,GANTA SURESH,IND,442,,Adilabad,Adilabad
"WARD Name : 25 , Reserved for : BC(G), Total Voters in Municipality Ward : 2530 , Total Vaild Votes : 1813 , Rejected Votes : 23 , NOTA Votes : 4",,,,,Adilabad,Adilabad
1,GAYASUDDIN,INC,582,,Adilabad,Adilabad
2,BADAN GANGANNA,TRS,543,,Adilabad,Adilabad
3,RAJESH PINNAMWAR,BJP,659,Elected,Adilabad,Adilabad
4,RAVINDER A,IND,29,,Adilabad,Adilabad
"WARD Name : 26 , Reserved for : UR(W), Total Voters in Municipality Ward : 2637 , Total Vaild Votes : 1970 , Rejected Votes : 28 , NOTA Votes : 5",,,,,Adilabad,Adilabad
1,KANTHA BAI,INC,305,,Adilabad,Adilabad
2,NAIMUNNISA BEGUM,TRS,536,Elected,Adilabad,Adilabad
3,PARSHAROUTHU GEETHA,BJP,268,,Adilabad,Adilabad
4,SABA AFREEN,AIMIM,292,,Adilabad,Adilabad
5,FATIMA ZOHRA SIDDIQA,IND,32,,Adilabad,Adilabad
6,SHAKILA ANJUM KHAN,IND,55,,Adilabad,Adilabad
7,SURAM SUJATHA,IND,42,,Adilabad,Adilabad
8,HEENA BANU,IND,440,,Adilabad,Adilabad
"WARD Name : 27 , Reserved for : UR(W), Total Voters in Municipality Ward : 2406 , Total Vaild Votes : 1661 , Rejected Votes : 48 , NOTA Votes : 4",,,,,Adilabad,Adilabad
1,ORAGANTI KAVERI,TRS,718,,Adilabad,Adilabad
2,JOGU SHAILAJA,BJP,943,Elected,Adilabad,Adilabad
"WARD Name : 28 , Reserved for : BC(W), Total Voters in Municipality Ward : 2592 , Total Vaild Votes : 1820 , Rejected Votes : 17 , NOTA Votes : 2",,,,,Adilabad,Adilabad
1,KALPANA KASAWAR,INC,34,,Adilabad,Adilabad
2,KANUGANTI SUNITHA,TRS,829,Elected,Adilabad,Adilabad
3,NASEEM BEGUM,AIMIM,247,,Adilabad,Adilabad
4,ORAGANTI VIJAYA,BJP,391,,Adilabad,Adilabad
5,TABASUM SHAIK,IND,123,,Adilabad,Adilabad
6,NIKATH SULTANA,IND,7,,Adilabad,Adilabad
7,NIGHAR PARVEEN,IND,30,,Adilabad,Adilabad
8,RUHINAAZ,IND,159,,Adilabad,Adilabad
"WARD Name : 29 , Reserved for : BC(G), Total Voters in Municipality Ward : 2610 , Total Vaild Votes : 1883 , Rejected Votes : 21 , NOTA Votes : 6",,,,,Adilabad,Adilabad
1,ABDUL KALEEM,AIMIM,214,,Adilabad,Adilabad
2,MOHAMMAD ZAHEER RAMZANI,TRS,940,Elected,Adilabad,Adilabad
3,MOHAMMED ABDUL HAMEED KHAN,INC,17,,Adilabad,Adilabad
4,ABDUL WASIM,IND,7,,Adilabad,Adilabad
5,MOHAMMAD GOUSE MOHIUDDIN,IND,693,,Adilabad,Adilabad
6,SYED NAYEEMODDIN,IND,12,,Adilabad,Adilabad
"WARD Name : 30 , Reserved for : SC(G), Total Voters in Municipality Ward : 2805 , Total Vaild Votes : 2093 , Rejected Votes : 34 , NOTA Votes : 2",,,,,Adilabad,Adilabad
1,NALAGANTI NAVEEN KUMAR,TRS,534,,Adilabad,Adilabad
2,YOGENDER HALWLE,AIMIM,202,,Adilabad,Adilabad
3,M VIJAY KUMAR,INC,680,Elected,Adilabad,Adilabad
4,G VIJAY KUMAR,IND,450,,Adilabad,Adilabad
5,PEDELY SADU SUNDER,IND,53,,Adilabad,Adilabad
6,RAM KISHAN KOKANE,IND,105,,Adilabad,Adilabad
7,LANDGE PADMANAND,IND,69,,Adilabad,Adilabad
"WARD Name : 31 , Reserved for : UR(W), Total Voters in Municipality Ward : 2529 , Total Vaild Votes : 1970 , Rejected Votes : 34 , NOTA Votes : 0",,,,,Adilabad,Adilabad
1,JAZEENA BEGUM,AIMIM,137,,Adilabad,Adilabad
2,BISMILLA B,TRS,851,,Adilabad,Adilabad
3,RAJIA SULTHANA,INC,57,,Adilabad,Adilabad
4,UMME SALMA,IND,868,Elected,Adilabad,Adilabad
5,KULSUM BEE,IND,6,,Adilabad,Adilabad
6,M JAYASHEELA,IND,14,,Adilabad,Adilabad
7,SHAIK PRAVIN BANU SHAIK,IND,37,,Adilabad,Adilabad
"WARD Name : 32 , Reserved for : UR(W), Total Voters in Municipality Ward : 3131 , Total Vaild Votes : 2231 , Rejected Votes : 37 , NOTA Votes : 4",,,,,Adilabad,Adilabad
1,ZUBIYA FATHIMA,TRS,887,Elected,Adilabad,Adilabad
2,DIKONDA DEEPA,BJP,67,,Adilabad,Adilabad
3,MIRZA AMREEN,AIMIM,665,,Adilabad,Adilabad
4,SABIYA BEGUM,IND,612,,Adilabad,Adilabad
"WARD Name : 33 , Reserved for : SC(G), Total Voters in Municipality Ward : 2261 , Total Vaild Votes : 1557 , Rejected Votes : 55 , NOTA Votes : 5",,,,,Adilabad,Adilabad
1,AJAY ALLAL,TRS,962,Elected,Adilabad,Adilabad
2,GOUTHAM ORAGANTI,INC,39,,Adilabad,Adilabad
3,ANAGAUDALA RAJALINGU,IND,556,,Adilabad,Adilabad
"WARD Name : 34 , Reserved for : BC(G), Total Voters in Municipality Ward : 2684 , Total Vaild Votes : 1773 , Rejected Votes : 21 , NOTA Votes : 11",,,,,Adilabad,Adilabad
1,JOGU PREMENDER,TRS,1355,Elected,Adilabad,Adilabad
2,VEDAVYAS VAKULABARANAM,BJP,418,,Adilabad,Adilabad
"WARD Name : 35 , Reserved for : BC(W), Total Voters in Municipality Ward : 2878 , Total Vaild Votes : 1891 , Rejected Votes : 24 , NOTA Votes : 4",,,,,Adilabad,Adilabad
1,ASHAYYAGARI LAXMI,BJP,551,,Adilabad,Adilabad
2,FOUZIA BEGUM,AIMIM,632,Elected,Adilabad,Adilabad
3,S VEDASRI,INC,45,,Adilabad,Adilabad
4,SABAHATH ZAREEN,TRS,523,,Adilabad,Adilabad
5,AKULA PREEMALA,IND,7,,Adilabad,Adilabad
6,JYOTHI TUNKEWAR,IND,23,,Adilabad,Adilabad
7,S DHANALAXMI,IND,22,,Adilabad,Adilabad
8,NASEEM SHAIK,IND,6,,Adilabad,Adilabad
9,PEDDIWAR PINKI,IND,18,,Adilabad,Adilabad
10,BILKIS BEGUM,IND,64,,Adilabad,Adilabad
"WARD Name : 36 , Reserved for : UR(W), Total Voters in Municipality Ward : 2918 , Total Vaild Votes : 1927 , Rejected Votes : 27 , NOTA Votes : 8",,,,,Adilabad,Adilabad
1,GANDRATH LAXMI,TRS,886,Elected,Adilabad,Adilabad
2,MUJEEB KHANAM,INC,225,,Adilabad,Adilabad
3,SHAHEEN BHANU,AIMIM,60,,Adilabad,Adilabad
4,SAMALA YASHODA,BJP,580,,Adilabad,Adilabad
5,RAFEEKHA ABID,IND,125,,Adilabad,Adilabad
6,RADHIKA SANA,IND,17,,Adilabad,Adilabad
7,RAMAGIRI SWETHA,IND,34,,Adilabad,Adilabad
"WARD Name : 37 , Reserved for : UR(G), Total Voters in Municipality Ward : 2392 , Total Vaild Votes : 1525 , Rejected Votes : 19 , NOTA Votes : 4",,,,,Adilabad,Adilabad
1,ASHOK AMBAKANTI,INC,745,Elected,Adilabad,Adilabad
2,ADINATH VAKULABARANAM,BJP,249,,Adilabad,Adilabad
3,THOTA SRINIVAS,TRS,368,,Adilabad,Adilabad
4,MOHAN AGARWAL,IND,163,,Adilabad,Adilabad
"WARD Name : 38 , Reserved for : UR(W), Total Voters in Municipality Ward : 2900 , Total Vaild Votes : 1845 , Rejected Votes : 21 , NOTA Votes : 3",,,,,Adilabad,Adilabad
1,AZEEMA BEGUM,INC,128,,Adilabad,Adilabad
2,YELMALWAR ARCHANA,TRS,1043,Elected,Adilabad,Adilabad
3,CHITIKESI SADANA,BJP,583,,Adilabad,Adilabad
4,PULLURWAR GOUTHAMI,IND,19,,Adilabad,Adilabad
5,MANJULA PULLURWAR,IND,70,,Adilabad,Adilabad
6,SRAVANTHI SILIVERI,IND,2,,Adilabad,Adilabad
"WARD Name : 39 , Reserved for : SC(W), Total Voters in Municipality Ward : 2679 , Total Vaild Votes : 1797 , Rejected Votes : 48 , NOTA Votes : 6",,,,,Adilabad,Adilabad
1,ANUSUYA NATARI,INC,153,,Adilabad,Adilabad
2,YASHODHARA DHAVALE,BJP,223,,Adilabad,Adilabad
3,LAXMI TUMMALA,TDP,10,,Adilabad,Adilabad
4,SANGEETA JABADE,TRS,868,Elected,Adilabad,Adilabad
5,GAYAKWAD SUREKHA,IND,6,,Adilabad,Adilabad
6,DEEKSHA DHUPE,IND,172,,Adilabad,Adilabad
7,DURGE RASHIKA,IND,21,,Adilabad,Adilabad
8,DEVATADE SHOBHA,IND,8,,Adilabad,Adilabad
9,NANDA BAI GULE,IND,167,,Adilabad,Adilabad
10,VENUTHAI BURE,IND,169,,Adilabad,Adilabad
"WARD Name : 40 , Reserved for : BC(G), Total Voters in Municipality Ward : 2591 , Total Vaild Votes : 1901 , Rejected Votes : 26 , NOTA Votes : 8",,,,,Adilabad,Adilabad
1,AMARABAINA SAI CHARAN GOUD,INC,625,,Adilabad,Adilabad
2,KONDURI BHARATH KUMAR,TRS,746,Elected,Adilabad,Adilabad
3,GANGA SARAPU OMANNA,TDP,117,,Adilabad,Adilabad
4,MULKALWAR POCHANNA,BJP,384,,Adilabad,Adilabad
5,PADAMATI ARAVIND,IND,18,,Adilabad,Adilabad
6,MUSLEY VIJAY KUMAR,IND,11,,Adilabad,Adilabad
"WARD Name : 41 , Reserved for : UR(G), Total Voters in Municipality Ward : 2466 , Total Vaild Votes : 1347 , Rejected Votes : 26 , NOTA Votes : 4",,,,,Adilabad,Adilabad
1,GANTA RAJINISH,INC,203,,Adilabad,Adilabad
2,RENDLA KRISHNA,BJP,421,Elected,Adilabad,Adilabad
3,VAMAN RAO,TRS,355,,Adilabad,Adilabad
4,KANDIKANTLA SACHIN,IND,227,,Adilabad,Adilabad
5,PUNDRU VISHAL REDDY,IND,24,,Adilabad,Adilabad
6,POTHUGANTI PRAVEEN KUMAR,IND,117,,Adilabad,Adilabad
"WARD Name : 42 , Reserved for : UR(G), Total Voters in Municipality Ward : 2496 , Total Vaild Votes : 1621 , Rejected Votes : 24 , NOTA Votes : 6",,,,,Adilabad,Adilabad
1,AVULA VENKANNA,TRS,678,Elected,Adilabad,Adilabad
2,MANGESH KUMAR,INC,650,,Adilabad,Adilabad
3,SAMA SANJEEVA REDDY,BJP,229,,Adilabad,Adilabad
4,KRISHNA KUMAR,IND,10,,Adilabad,Adilabad
5,GUNTI MALLESH,IND,39,,Adilabad,Adilabad
6,CHALLA RAVINDER REDDY,IND,15,,Adilabad,Adilabad
"WARD Name : 43 , Reserved for : UR(G), Total Voters in Municipality Ward : 2717 , Total Vaild Votes : 1945 , Rejected Votes : 31 , NOTA Votes : 5",,,,,Adilabad,Adilabad
1,YELTI OMPRAKASH REDDY,TRS,681,,Adilabad,Adilabad
2,GUDIPELLI NAGESH,INC,208,,Adilabad,Adilabad
3,CHITTIMALLI SHRAVAN KUMAR,TDP,16,,Adilabad,Adilabad
4,SHREEPADWAR SRINIVAS,BJP,126,,Adilabad,Adilabad
5,KALALA SRINIVAS,IND,726,Elected,Adilabad,Adilabad
6,DASARI SUNIL KUMAR,IND,188,,Adilabad,Adilabad
"WARD Name : 44 , Reserved for : UR(W), Total Voters in Municipality Ward : 3079 , Total Vaild Votes : 2107 , Rejected Votes : 33 , NOTA Votes : 5",,,,,Adilabad,Adilabad
1,TIRMANWAR SUNITHA,BJP,247,,Adilabad,Adilabad
2,NASEEM BEGUM,INC,61,,Adilabad,Adilabad
3,K PADMA,TRS,511,,Adilabad,Adilabad
4,SHAMEEM SULTHANA,AIMIM,598,,Adilabad,Adilabad
5,MENGAWAR PREMALA,IND,79,,Adilabad,Adilabad
6,SHAHNAZ BEGUM,IND,611,Elected,Adilabad,Adilabad
"WARD Name : 45 , Reserved for : BC(G), Total Voters in Municipality Ward : 2473 , Total Vaild Votes : 1538 , Rejected Votes : 22 , NOTA Votes : 1",,,,,Adilabad,Adilabad
1,ANWAR SHAIK,INC,64,,Adilabad,Adilabad
2,SRINIVAS S,BJP,247,,Adilabad,Adilabad
3,B. SATISH,TRS,1227,Elected,Adilabad,Adilabad
"WARD Name : 46 , Reserved for : UR(W), Total Voters in Municipality Ward : 2529 , Total Vaild Votes : 1663 , Rejected Votes : 19 , NOTA Votes : 6",,,,,Adilabad,Adilabad
1,GANDE SUDHA,TRS,580,,Adilabad,Adilabad
2,JOSHI SRAVANTHI,INC,118,,Adilabad,Adilabad
3,MADHU JAISWAL,BJP,864,Elected,Adilabad,Adilabad
4,UTTARWAR UMAMAHESHWARI,IND,13,,Adilabad,Adilabad
5,RAJASRI,IND,88,,Adilabad,Adilabad
"WARD Name : 47 , Reserved for : UR(W), Total Voters in Municipality Ward : 2396 , Total Vaild Votes : 1586 , Rejected Votes : 11 , NOTA Votes : 9",,,,,Adilabad,Adilabad
1,ANDE SREEDEVI,TRS,548,,Adilabad,Adilabad
2,B SUNITHA,INC,47,,Adilabad,Adilabad
